id,lang_type,publication_year,in_degree
https://openalex.org/W2041685217,américain,1994,3
https://openalex.org/W2005177378,américain,1998,5
https://openalex.org/W2017877610,américain,2011,7
https://openalex.org/W206623842,américain,1990,3
https://openalex.org/W2010149575,américano-vietnamien,2007,14
https://openalex.org/W2162684254,américain,1990,0
https://openalex.org/W1905297950,américain,2013,6
https://openalex.org/W2027979767,américano-vietnamien,2006,11
https://openalex.org/W2028028334,américain,2008,2
https://openalex.org/W2069856090,américano-vietnamien,2004,9
https://openalex.org/W2151284373,américain,2009,5
https://openalex.org/W2080808010,vietnamien,2008,3
https://openalex.org/W2022542522,américain,2002,1
https://openalex.org/W1543939305,américain,2013,14
https://openalex.org/W2112228211,américain,2008,4
https://openalex.org/W2273086646,vietnamien,2016,8
https://openalex.org/W2068090909,américano-vietnamien,2006,3
https://openalex.org/W2049356742,américain,1984,6
https://openalex.org/W2021322814,américain,2006,5
https://openalex.org/W3122715380,vietnamien,2010,6
https://openalex.org/W1995134009,américain,2005,5
https://openalex.org/W2097001239,américain,1990,1
https://openalex.org/W2030281339,américain,2007,2
https://openalex.org/W2022148856,américain,1989,11
https://openalex.org/W2002874231,vietnamien,2013,3
https://openalex.org/W2790719235,vietnamien,2018,6
https://openalex.org/W2072972208,américain,1993,5
https://openalex.org/W2130088997,américain,2010,4
https://openalex.org/W2989906477,vietnamien,2019,1
https://openalex.org/W2144173853,américain,2010,0
https://openalex.org/W2010221980,américano-vietnamien,2006,1
https://openalex.org/W1987710617,américain,1987,1
https://openalex.org/W2110119904,vietnamien,2009,1
https://openalex.org/W2114101259,américain,2013,2
https://openalex.org/W2096815463,américain,2008,7
https://openalex.org/W2941816667,vietnamien,2019,3
https://openalex.org/W2567085390,vietnamien,2016,4
https://openalex.org/W2040873956,américain,2002,7
https://openalex.org/W2067498206,américain,2005,1
https://openalex.org/W1934380450,vietnamien,2011,0
https://openalex.org/W2901073425,américain,2018,1
https://openalex.org/W2107191998,américain,2002,4
https://openalex.org/W2550747919,vietnamien,2016,4
https://openalex.org/W2015253514,franco-vietnamien,2011,3
https://openalex.org/W4323305778,vietnamien,2023,1
https://openalex.org/W2127628673,américain,2010,2
https://openalex.org/W2726108998,vietnamien,2017,4
https://openalex.org/W2021221725,américain,2008,1
https://openalex.org/W1966477426,américain,1995,5
https://openalex.org/W2005318410,américain,2012,7
https://openalex.org/W2170469291,américain,2007,1
https://openalex.org/W2157993454,américain,2011,7
https://openalex.org/W2302591516,américano-vietnamien,2012,4
https://openalex.org/W2017982975,américain,2013,5
https://openalex.org/W2955109593,vietnamien,2019,2
https://openalex.org/W2946570875,américain,2019,0
https://openalex.org/W2976919754,vietnamien,2019,4
https://openalex.org/W2059888177,américain,2012,12
https://openalex.org/W2015771673,américain,2008,7
https://openalex.org/W60817701,américano-vietnamien,2002,5
https://openalex.org/W2067488304,américain,2009,6
https://openalex.org/W2048577482,vietnamien,2014,6
https://openalex.org/W2789881025,vietnamien,2018,2
https://openalex.org/W2977519781,vietnamien,2019,3
https://openalex.org/W3008222579,vietnamien,2020,0
https://openalex.org/W2732398505,vietnamien,2018,5
https://openalex.org/W2985126444,vietnamien,2019,5
https://openalex.org/W2029093915,américain,2011,1
https://openalex.org/W2990973605,vietnamien,2019,5
https://openalex.org/W2790028525,américain,2018,0
https://openalex.org/W2921032313,vietnamien,2019,8
https://openalex.org/W3032463517,vietnamien,2020,4
https://openalex.org/W2007298685,américain,1996,0
https://openalex.org/W2773218834,français,2017,1
https://openalex.org/W2795405323,américain,2018,1
https://openalex.org/W1967731461,américain,2006,1
https://openalex.org/W4255880526,américain,1994,2
https://openalex.org/W2758822915,américain,2017,1
https://openalex.org/W2061712877,américain,2002,6
https://openalex.org/W2048053140,américain,2014,3
https://openalex.org/W2234290342,américain,2016,0
https://openalex.org/W2037456147,américain,1994,1
https://openalex.org/W3173877580,vietnamien,2021,1
https://openalex.org/W2062981194,américain,1999,5
https://openalex.org/W2999892322,vietnamien,2020,0
https://openalex.org/W2913651867,vietnamien,2019,3
https://openalex.org/W2125373829,américain,1999,0
https://openalex.org/W3037553657,vietnamien,2020,1
https://openalex.org/W1965051596,américain,1995,1
https://openalex.org/W3117828317,vietnamien,2020,5
https://openalex.org/W1972565172,américain,2007,0
https://openalex.org/W2166057622,américain,2010,5
https://openalex.org/W183922081,américain,1992,0
https://openalex.org/W3195467476,vietnamien,2021,1
https://openalex.org/W3177965236,vietnamien,2021,4
https://openalex.org/W1965722056,américain,1992,1
https://openalex.org/W2912511408,vietnamien,2019,3
https://openalex.org/W2127917245,américain,2008,2
https://openalex.org/W2772300155,vietnamien,2017,5
https://openalex.org/W3105724390,vietnamien,2020,3
https://openalex.org/W2063436078,américain,1999,0
https://openalex.org/W2963573993,vietnamien,2019,5
https://openalex.org/W4206558348,vietnamien,2021,5
https://openalex.org/W2999101721,vietnamien,2020,1
https://openalex.org/W2020536665,américain,1991,5
https://openalex.org/W2048335617,américain,1981,1
https://openalex.org/W1963231213,vietnamien,2009,2
https://openalex.org/W2154353021,américain,1987,1
https://openalex.org/W2123816105,américain,2014,1
https://openalex.org/W1979193781,américain,1991,1
https://openalex.org/W3123244337,vietnamien,2016,2
https://openalex.org/W2052115967,américain,2013,3
https://openalex.org/W2386017954,vietnamien,2013,3
https://openalex.org/W2960162579,vietnamien,2020,5
https://openalex.org/W2017734317,vietnamien,2012,0
https://openalex.org/W3170878762,vietnamien,2021,2
https://openalex.org/W1973083963,américain,2002,1
https://openalex.org/W2499282237,vietnamien,2016,5
https://openalex.org/W2088920074,américain,2006,1
https://openalex.org/W2901468619,vietnamien,2018,3
https://openalex.org/W2883610745,américano-vietnamien,2018,1
https://openalex.org/W1827153917,américain,2014,1
https://openalex.org/W1549045369,américain,2007,2
https://openalex.org/W2806640586,vietnamien,2018,3
https://openalex.org/W2023360786,américain,2015,2
https://openalex.org/W2969091491,franco-vietnamien,2019,4
https://openalex.org/W2128400177,vietnamien,2009,0
https://openalex.org/W2043506626,américain,1990,10
https://openalex.org/W2122350436,américain,2011,1
https://openalex.org/W3129752199,vietnamien,2021,1
https://openalex.org/W3186416287,vietnamien,2021,1
https://openalex.org/W2277723017,vietnamien,2014,2
https://openalex.org/W1969340378,américain,1990,1
https://openalex.org/W2042820556,américain,2011,0
https://openalex.org/W2156084495,vietnamien,2010,0
https://openalex.org/W2995573527,français,2019,3
https://openalex.org/W2101876493,américain,2012,1
https://openalex.org/W4280585410,vietnamien,2022,1
https://openalex.org/W3098576797,vietnamien,2020,1
https://openalex.org/W4392528361,vietnamien,2024,0
https://openalex.org/W1978007171,américain,1995,5
https://openalex.org/W3133679650,américano-vietnamien,2021,5
https://openalex.org/W2915364919,vietnamien,2019,1
https://openalex.org/W3040190741,vietnamien,2020,1
https://openalex.org/W3012137525,américain,2020,3
https://openalex.org/W4220652965,vietnamien,2022,0
https://openalex.org/W3108557436,vietnamien,2020,1
https://openalex.org/W3091193687,vietnamien,2020,2
https://openalex.org/W2793618390,américain,2018,3
https://openalex.org/W4380996369,vietnamien,2023,0
https://openalex.org/W2967827380,vietnamien,2019,1
https://openalex.org/W2981395499,vietnamien,2019,1
https://openalex.org/W2065388992,américain,2009,0
https://openalex.org/W2585251880,vietnamien,2017,0
https://openalex.org/W2027994221,vietnamien,2012,1
https://openalex.org/W2997214801,vietnamien,2020,5
https://openalex.org/W2068366386,américain,1983,1
https://openalex.org/W2944668840,vietnamien,2019,2
https://openalex.org/W3038371673,vietnamien,2020,2
https://openalex.org/W2977806441,vietnamien,2019,2
