NNT,NumSujet,Auteurs,Titre FR,Titre EN,Directeurs,Discipline,Date de soutenance,Date de première inscription,Etablissement de soutenance,Code etablissement,Etablissement de cotutelle,Ecoles doctorales,Partenaires de recherche,Président du jury,Rapporteurs,Examinateurs,Mots clés FR,Mots clés EN,Langue,Source,Statut,Accessible,Abstract_EN
2015TOU10010,,"Nguyen, Linh Giang (187515689)",La protection constitutionnelle des droits de l'homme au Vietnam,Constitutional protection of Human rights in Vietnam,"Crouzatier, Jean-Marie (028815726) || Vo, Khanh Vinh (187515832)",Droit public,29/06/2015,,Toulouse 1 (026404354),TOU1,,École doctorale Droit et Science Politique (Toulouse) (157277984),Institut Maurice Hauriou (Toulouse) (159723051),,,,Constitutions -- Vietnam || Recours constitutionnels || Vietnam || Droits de l'homme || Protection constitutionnelle,,fr,star,soutenue,oui,"The Constitution definitely has an indispensable role in the consolidation of democracy and the protection of human rights. It can be stated that if the question of human rights protection were not raised, it would probably not be necessary to have a constitution in every country. Without the guarantee of human rights or without a constitution, a political system is not democratic. Protecting human rights constitutes not only the role but also the function of a constitution; these are also the reasons for its existence. History has demonstrated that the concepts of a constitution, of constitutionalism, and of human rights are not completely new to Vietnamese society. Combined with the traditional humanitarian values, the western notion of human rights started to take roots in Vietnam during the French colonial era. There were, however, periods when individual freedom was repressed or had to be sacrificed for common interests. Additionally, there were times when the idea of human rights was seen as a ""Western anti-revolutionary idea aiming to corrupt Vietnamese society."" It cannot be denied that human rights constitute a universal value of humanity to which every country, including Vietnam, should be oriented. Like other Asian countries, after its independence, Vietnam adopted a new constitution which embodied western constitutional ideas and established their first democratic regime in 1946. From this date onwards, Vietnam has had five constitutions belonging to the Democratic Republic of Vietnam and the Socialist Republic of Vietnam: they are the constitutions of 1946, of 1959, of 1980, of 1992 and of 2013. Two other Constitutions of the Republic of South Vietnam were established in 1956 and 1967. All these constitutions have a chapter on fundamental rights and duties of citizens. Thus, constitutions have always accompanied the Vietnamese people throughout modern history. The protection of human rights in Vietnam's constitutions, like in other countries in the world, is rendered in two ways: A set of provisions which directly concerns human rights is laid out in order to avoid the repression of any person, starting with government officials; and another set of provisions designed to limit the power of the State. These two aspects are intended to protect the Vietnamese people and all persons in the territory of Vietnam. Recently, Vietnam has participated in important international conventions on human rights. The Constitution of Vietnam recognizes most widely-accepted human rights and fundamental freedoms and several institutions and mechanisms have been put in place concerning this matter. Despite some success, Vietnam still faces several problems and difficulties in protecting human rights. The present study addressed a complex issue: Vietnam does not lack legal texts, but their enforcement mechanism still experiences inadequacies. Through a multidisciplinary approach that facilitates different types of analysis, we show that in Vietnam's current context, creating a constitutional mechanism for protecting human rights is an unquestionable requirement. In this sense, we would like to establish specific constitutional institutions for the protection of human rights in Vietnam."
2010PA131016,,"Nguyen, Binh Duong (151022720)",Stratégie industrielle des pays asiatiques en transition : le cas du Vietnam,Industrial Strategy of the Asian countries in transition : the case of Vietnam,"Mazier, Jacques (027020649)",Sciences économiques,01/01/2010,,Paris 13 (02640463X),PA13,,,,,,,Développement durable || Planification stratégique || Commerce international || Vietnam || Investissements étrangers || Asie orientale || Politique industrielle,,fr,sudoc,soutenue,oui,"This thesis examines the key issues in choosing strategies for industrialization of Vietnam in the new global economy. It is organized into three main parts. The first part reviews the pros and cons of import- substitution industrialization (“ISI”) and the export-oriented industrialization (“EOI”) strategies in Asian countries. It also reviews the different theoretical views of the subject, identifying achievements and limitations of the Asian model of industrialization, and lessons for Vietnam. The second part analyzes the investment policies of Vietnam, the impact of foreign direct investment (“FDI”) and international integration on trades as well as causality linkage between investment and import-export for Vietnam. The part also reports key findings using empirical study, specifically analysis of the time-series and a gravity model for trade. The third part discusses about international competitiveness of Vietnam and competition of Chinese products in both international and Vietnamese domestic markets."
2009PA020093,,"Pham, Viet Anh (142793787)",L' implantation et l'activité des sociétés étrangères au Vietnam,The establishment and the operation of foreign enterprises in Vietnam,"Khairallah, Georges (060563834)",Droit international,01/01/2009,,Paris 2 (026403145),PA02,,,,,,,Conditions économiques -- Vietnam -- 1986-.... || Investissements étrangers || Vietnam || Sociétés étrangères -- Droit,,fr,sudoc,soutenue,non,
2024INAL0005,,"Lê, Antoine (28231234X)","La recherche politique d'une autonomie stratégique. La construction de l’appareil d’État révolutionnaire du Sud (COSVN) dans un contexte de guerre civile au Viêt Nam, 1954-1976","The political quest for strategic autonomy. The construction of the revolutionary state apparatus of the South (COSVN) in a context of civil war in Vietnam, 1954-1976","Tréglodé, Benoît de (060369531) || Hardy, Andrew David (074756184)","Histoire, sociétés et civilisatons",30/05/2024,,"Paris, INALCO (026388715)",INAL,,"École doctorale Langues, littératures et sociétés du monde (1997-... ; Paris) (110245946)",Centre Asie du Sud-Est (Paris) (16840687X),,"Goscha, Christopher E. (059073160) || Journoud, Pierre (078011043)","Đoàn, Cầm Thi (053495055) || Dullin, Sabine (033439699) || Guillemot, François (098823981)",Viet-Nam (République) || Vietnam -- 1945-1975 || Politique et gouvernement -- Vietnam -- 1945-1975 || Guerre du Vietnam (1961-1975) || Guerre du Viêt Nam || Parti Communiste Vietnamien || Sud-Viêt Nam || Cosvn,Vietnam War || Vietnamese Communist Party || South Vietnam || Cosvn,fr,star,soutenue,oui,"Much has been written about the relationship between the liberation movement in South Vietnam and the Communist authorities in Hanoi. For a long time, Western and Vietnamese historiographies, for different reasons, presented the communists of South Vietnam as strict agents of the Democratic Republic of Vietnam in the North. Using published testimonies, unexploited archives and interviews gathered over several years of fieldwork in Vietnam, this dissertation attempts to shed new light on the question of the political autonomy of the South Vietnamese revolutionary movement. It focuses in particular on the Central Office for South Vietnam (COSVN), the Communist Party's politico-military headquarters for South Vietnam. Using a prosopographical, internalist and comprehensive approach, focusing on the trajectories of the Communist leaders of South Vietnam, this study aims to make visible the evolution of COSVN's political autonomy from the Geneva Accords in 1954, to the proclamation of the Socialist Republic of Vietnam in July 1976."
2005PA090058,,"Nguyen, Duc Tho (116118571)",Investissement direct étranger au Vietnam,Foreign direct investment in Vietnam,"Métais, Joël (028176030)",Sciences économiques,01/01/2005,,Paris 9 (027787109),PA09,,,,,,,Relations économiques extérieures || Développement économique || Mondialisation || Vietnam || Investissements étrangers,,fr,sudoc,soutenue,oui,
2015TOU10011,,"Le, Thi Hang (187775834)",Les facteurs de la politique étrangère du Vietnam (1989-2010),The factors of Vietnam's foreign policy (1989-2010),"Martin, Michel Louis (027013308)",Sciences politiques,16/07/2015,,Toulouse 1 (026404354),TOU1,,École doctorale Droit et Science Politique (Toulouse) (157277984),Groupe de Recherche sur la Sécurité et la Gouvernance (Toulouse) (181415747),,,,Relations extérieures || Politique et gouvernement -- Vietnam -- 1975-.... || Vietnam || Communisme || Diplomatie vietnamienne,,fr,star,soutenue,non,"This research aims to describe the changes in Vietnam’s foreign policy after the Renewal (Doi Moi) with a detailed analysis of internal and external factors that influenced its external relations. At the Sixth Congress in 1986, the Communist Party of Vietnam adopted the Renewal policy focusing on economic reform. The Renewal policy was reaffirmed by the Communist Party during its subsequent Congress. In the early twentieth century, Vietnam was still a semi-feudal colonial country. Despite many nationalist upraised (the movement of the Nationalist Party of Vietnam and Yen Bai upraising in early 1930), the French maintained their control over the Vietnamese territory. Moderate Vietnamese nationalists such as Phan Boi Chau or Phan Chu Trinh, tried to get more autonomy through negotiation but hardly more successful. The appearance of Nguyen Ai Quoc (who would later take the name of Ho Chi Minh) changed the country's destiny. A few months later, in 1945, the Japanese surrender allows the Viet Minh, the nationalist front led by the Communist Party of Ho Chi Minh, to take power at the August Revolution. After World War II, Vietnam finds its place on the chessboard of the great powers. However, the country remains provisionally divided into two hostile states, namely the Democratic Republic of Vietnam in the North (Viet Nam Dan Chu Cong Hoa) which has the support of the USSR, and the Republic of South Vietnam (Viet Nam Cong Hoa) under the rule of the United States. The two territories are now facing, Vietnam became one of the hottest fronts of the Cold War. Fratricidal struggle for a unified nation-state was particularly difficult during the thirty years of civil war, in the context of a neo-colonial war and a country transformed into warm front of the Cold War. In line with the USSR, ravaged by the war, Vietnam faced, with the reunification in 1975, to many economic difficulties. The invasion of Cambodia to overthrow the Khmer Rouge in late 1978 and the brief conflict against China add to the country's diplomatic isolation. Successively shaken since the end of 1989 to early 1990, the socialist system in the communist countries of Eastern Europe (including the Soviet Union) began to crack before knowing collapse. Following the Tiananmen events, which led the West to condemn the government of Beijing, the Communist Party of Vietnam began to worry more and more of the risk of collapse of the regime. The international context had a crucial role in the decision Renewal taken by the Communist Party of Vietnam. The isolation from the international community forced Vietnam to withdraw its army from Cambodia in 1989. This important event has opened a new page for the Vietnamese diplomacy. Its external relations are gradually established or reestablished. Vietnam's foreign policy has for objective to support the country's economic development while ensuring its security. It obeys the motto of “active international integration” in the direct aftermath of the opening line in 1991: reconciliation with its neighbors and with the United States, rapprochement with regional and international organizations ( Vietnam joined the ASEAN (1995), ASEM (1996), back to the Francophonie (Hanoi Summit in 1997) came to APEC (1998) and WTO (2007). We can see here, through the analysis of the external relations of Vietnam between 1989 and 2010, how foreign policy determined the economic and social development and the role of the Socialist Republic of Vietnam on the international stage."
2018GREAL039,,"Pham, Thi Lan (236937308)","La déclinaison au Vietnam de la presse magazine féminine internationale haut de gamme, dans le contexte politico-économique du Doi Moi  et de l’ouverture du pays aux industries créatives européennes de la filière Mode : L’exemple du déploiement stratégique de la marque Elle Vietnam","High-end international women’s magazine diversification in Vietnam, within the Doi Moi public context and beyond, following the business friendly attitude of the country towards European creative industries dedicated to fashion. : The case of Elle","Cabedoche, Bertrand (026761106)",Sciences de l'Information et de la Communication,10/12/2018,,Université Grenoble Alpes (ComUE) (184668794),GREA,,"École doctorale langues, littératures et sciences humaines (Grenoble, Isère, France ; 1991-....) (149284896)","Groupe de recherche sur les enjeux de la communication (Grenoble, Isère, France ; 1978-....) (026384752)","Bonfils, Philippe (120551136)","Trinh, Van Minh (236937391) || Moeglin, Pierre (033707022)","Lépine, Valérie (054055253) || Raichvarg, Daniel (030963958)",Presse féminine || Produits de luxe || Industries culturelles || Industries culturelles vietnamiennes || Magazine  féminin  haut  de  gamme || Marque || Acteurs locaux || Magazine Elle || Licence de marque,Vietnamese cultural industries || Womens magazine || Brand || Local actors || Elle magazine || Brand licensing,fr,star,soutenue,non,"With the new Doi Moi policy launched in the eighties in Vietnam, Vietnam created a new environment geared towards modernity. In 2010, Elle Vietnam stepped up in Vietnam as a new women's magazine international leader, as a branch of Elle, a French women's magazine dedicated to modern, international, beautiful women as well as luxury. We will focus our developments on the framework that led to ""modernity"" in Vietnam, as well as the international brand designed by Elle Vietnam. Also, how do the Vietnamese producers adapt to the global brand Elle expansion? With the point of view of Vietnamese producers, we will focus our developments on the understanding of what Roland Barthes once called a “mythological tank”."
1999PA020016,,"Cham Liem, Chinh (170486079)",L'arbitrage commercial international au Vietnam,International commercial arbitration in vietnam,"Fouchard, Philippe (026870304)",Droit privé,01/01/1999,,Paris 2 (026403145),PA02,,,,,,,Vietnam || Arbitrage commercial international,,fr,sudoc,soutenue,non,
2022AIXM0168,,"Le, Quy Duong (266819176)","The growth, momentum, and size effects in the Vietnamese stock market","The growth, momentum, and size effects in the Vietnamese stock market","Bertrand, Philippe (110465652)",Sciences de Gestion,20/05/2022,,Aix-Marseille (15863621X),AIXM,,École Doctorale Sciences économiques et de destion d'Aix-Marseille (Aix-en-Provence) (145585387),,"Husser, Jocelyn (069403325)","Jimenez-Garces, Sonia (087771780) || Viviani, Jean-Laurent (031107591)",,Mouvements de capitaux || Marché financier || Vietnam || Développement économique || Anomalies || Valeur/croissance || Prime de taille || Momentum || Surréaction || Risque de défaut.,Anomalies || Value/growth || Size premium || Momentum || Overreaction || Default risk,en,star,soutenue,oui,"The thesis aims to contribute to the extant literature by intensvely examining the value/growth, momentum, and size effects in Vietnam.Firstly, the growth effect is documented in Vietnam. Because of high exposure to the momentum factor, the growth portfolio's superior return arises from the momentum effect. Furthermore, since the momentum factor provides positive profitability in only nine months after portfolio formation, the delayed overreaction is likely to be the key reason behind Vietnam's momentum effect.Secondly, a measure of delayed overreaction in Vietnam is build based on trading volume and the sign of stock returns. Ranking stocks on their levels of overreaction, we find that stocks experiencing a stronger upward overreaction earn a higher average return. The momentum profit disappears after controlling for the effect of overreaction. Therefore, it could be concluded that momentum in Vietnam arises from the investors’ overreaction to private information.Finally,the thesis investigates the relationship between size premium and default risk in the Vietnamese stock market. Since small-cap stocks generate the highest average return than remaining stocks, the size effect is reported in Vietnam. By ranking stocks on their market capitalization and risk proxies, we find that the superior return of small portfolio is concentrated in high-risk stocks. Moreover, the explanatory power of size factor decreases when the default-risk neutrality is applied. Given this backdrop, the size premium in Vietnam seems to arise from default risk, which corroborates the risk-based explanation."
2002NANT4001,,"Do, Ngoc My (061133329)",Les déterminants des choix de canaux de distribution de biens de grande consommation : une analyse comparée franco-vietnamienne,Choice determinant of convenience goods channels : a french-vietnamese comparative analysis,"Bréchet, Jean-Pierre (032109202)",Sciences de gestion,01/01/2002,,Nantes (026403447),NANT,,,,,,,Commerce || Études comparatives || Vietnam || Circuits de distribution,,fr,sudoc,soutenue,non,"The thesis approachs factors that influence the choice of distribution channels of convenience goods in vietnamese economy, acoording to models of countries with modern distribution systems, especially France. It underscores a new approach of distribution channels in the economy of Vietnam. The purpose of this work is to elaborate a relevant pattern process for the vietnamese national market and to put a decision tool at the disposal of the leaders of manufacturing and import firms of convenience goods in Vietnam. Thus, this research work tackles the various problematicals linked to the choices of channels, and to the criteria of choice. The comparison of two different contexts allows to define three priorities in the modernization of the distribution system in Vietnam : the organization and the development of the best conditions for the creation of modern distribution channels, revalorising current channel process ; the development of assistance tools for decision-making, favouring determination of commercial objectives ; the emergency of creating trade regulations, in a lasting and stable framework, applicable to the process of distribution in Vietnam"
